trip_id,stop_id
12451381-145-Blocks-Weekday-52,341544
12451381-145-Blocks-Weekday-52,341152
12451381-145-Blocks-Weekday-52,341135
12451381-145-Blocks-Weekday-52,341607
12451381-145-Blocks-Weekday-52,361065
12451381-145-Blocks-Weekday-52,361015
12451381-145-Blocks-Weekday-52,361074
12451381-145-Blocks-Weekday-52,361099
12451381-145-Blocks-Weekday-52,361619
12451381-145-Blocks-Weekday-52,341134
12451381-145-Blocks-Weekday-52,341153
12451381-145-Blocks-Weekday-52,341544
12451382-145-Blocks-Weekday-52,341544
12451382-145-Blocks-Weekday-52,341152
12451382-145-Blocks-Weekday-52,341135
12451382-145-Blocks-Weekday-52,341607
12451382-145-Blocks-Weekday-52,361065
12451382-145-Blocks-Weekday-52,361015
12451382-145-Blocks-Weekday-52,361074
12451382-145-Blocks-Weekday-52,361099
12451382-145-Blocks-Weekday-52,361619
12451382-145-Blocks-Weekday-52,341134
12451382-145-Blocks-Weekday-52,341153
12451382-145-Blocks-Weekday-52,341544
12451383-145-Blocks-Weekday-52,341544
12451383-145-Blocks-Weekday-52,341152
12451383-145-Blocks-Weekday-52,341135
12451383-145-Blocks-Weekday-52,341607
12451383-145-Blocks-Weekday-52,361065
12451383-145-Blocks-Weekday-52,361015
12451383-145-Blocks-Weekday-52,361074
12451383-145-Blocks-Weekday-52,361099
12451383-145-Blocks-Weekday-52,361619
12451383-145-Blocks-Weekday-52,341134
12451383-145-Blocks-Weekday-52,341153
12451383-145-Blocks-Weekday-52,341544
12451384-145-Blocks-Weekday-52,341544
12451384-145-Blocks-Weekday-52,341152
12451384-145-Blocks-Weekday-52,341135
12451384-145-Blocks-Weekday-52,341607
12451384-145-Blocks-Weekday-52,361065
12451384-145-Blocks-Weekday-52,361015
12451384-145-Blocks-Weekday-52,361074
12451384-145-Blocks-Weekday-52,361099
12451384-145-Blocks-Weekday-52,361619
12451384-145-Blocks-Weekday-52,341134
12451384-145-Blocks-Weekday-52,341153
12451384-145-Blocks-Weekday-52,341544
12451385-145-Blocks-Weekday-52,341544
12451385-145-Blocks-Weekday-52,341152
12451385-145-Blocks-Weekday-52,341135
12451385-145-Blocks-Weekday-52,341607
12451385-145-Blocks-Weekday-52,361065
12451385-145-Blocks-Weekday-52,361015
12451385-145-Blocks-Weekday-52,361074
12451385-145-Blocks-Weekday-52,361099
12451385-145-Blocks-Weekday-52,361619
12451385-145-Blocks-Weekday-52,341134
12451385-145-Blocks-Weekday-52,341153
12451385-145-Blocks-Weekday-52,341544
12451386-145-Blocks-Weekday-52,341544
12451386-145-Blocks-Weekday-52,341152
